nro,Year,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,Annual
1,1956,0.00,313.00,311.00,370.00,359.00,334.00,296.00,288.00,274.00,318
2,1957,301.00,284.00,320.00,394.00,347.00,332.00,301.00,280.00,256.00,312
3,1958,0.00,0.00,305.00,349.00,378.00,341.00,328.00,297.00,0.00,333
4,1959,0.00,0.00,302.00,303.00,340.00,322.00,298.00,295.00,0.00,309
5,1960,0.00,287.00,292.00,345.00,375.00,318.00,303.00,304.00,0.00,318
6,1961,0.00,267.00,307.00,332.00,343.00,310.00,297.00,329.00,0.00,312
7,1962,0.00,0.00,322.00,380.00,376.00,319.00,302.00,305.00,287.00,327
8,1963,313.00,0.00,300.00,347.00,350.00,316.00,300.00,325.00,303.00,319
9,1964,271.00,0.00,308.00,401.00,356.00,314.00,294.00,296.00,0.00,320
10,1965,0.00,0.00,273.00,298.00,335.00,299.00,289.00,283.00,286.00,295
11,1966,0.00,288.00,307.00,338.00,344.00,299.00,284.00,268.00,0.00,304
12,1967,0.00,0.00,313.00,357.00,333.00,318.00,285.00,289.00,279.00,310
13,1968,284.00,279.00,292.00,385.00,348.00,311.00,290.00,280.00,244.00,302
14,1969,0.00,285.00,274.00,297.00,314.00,305.00,285.00,268.00,258.00,286
15,1970,307.00,0.00,274.00,355.00,344.00,317.00,312.00,274.00,277.00,307
16,1971,0.00,278.00,290.00,373.00,344.00,315.00,300.00,300.00,312.00,314
17,1972,304.00,265.00,295.00,375.00,349.00,306.00,293.00,286.00,277.00,306
18,1973,272.00,263.00,271.00,326.00,334.00,307.00,275.00,262.00,242.00,292
19,1974,0.00,244.00,272.00,337.00,351.00,320.00,275.00,279.00,0.00,301
20,1975,0.00,267.00,303.00,309.00,338.00,314.00,272.00,257.00,0.00,298
21,1976,0.00,265.00,283.00,326.00,335.00,318.00,280.00,275.00,253.00,300
22,1977,290.00,239.00,251.00,332.00,360.00,310.00,305.00,282.00,253.00,302
23,1978,0.00,264.00,284.00,345.00,337.00,295.00,283.00,278.00,283.00,301
24,1979,0.00,232.00,263.00,323.00,352.00,324.00,292.00,290.00,0.00,303
25,1980,328.00,236.00,226.00,293.00,340.00,299.00,280.00,253.00,0.00,280
26,1981,0.00,241.00,237.00,285.00,326.00,290.00,278.00,260.00,0.00,278
27,1982,0.00,210.00,218.00,268.00,322.00,308.00,292.00,278.00,266.00,276
28,1983,0.00,228.00,195.00,289.00,325.00,301.00,272.00,273.00,267.00,270
29,1984,0.00,215.00,194.00,248.00,322.00,301.00,269.00,263.00,245.00,260
30,1985,0.00,217.00,185.00,215.00,304.00,286.00,273.00,247.00,227.00,247
31,1986,253.00,212.00,233.00,282.00,309.00,301.00,278.00,274.00,274.00,272
32,1987,254.00,182.00,150.00,188.00,287.00,286.00,264.00,271.00,265.00,235
33,1988,242.00,207.00,216.00,312.00,323.00,284.00,281.00,260.00,274.00,270
34,1989,270.00,186.00,150.00,255.00,295.00,290.00,266.00,254.00,254.00,246
35,1990,259.00,173.00,173.00,207.00,246.00,281.00,257.00,263.00,233.00,231
36,1991,204.00,163.00,137.00,232.00,296.00,271.00,283.00,281.00,257.00,239
37,1992,185.00,152.00,147.00,206.00,270.00,284.00,275.00,277.00,256.00,233
38,1993,209.00,167.00,122.00,179.00,285.00,278.00,264.00,255.00,284.00,225
39,1994,197.00,152.00,126.00,217.00,316.00,278.00,269.00,256.00,254.00,232
40,1995,218.00,160.00,130.00,164.00,252.00,261.00,249.00,246.00,226.00,212
41,1996,173.00,155.00,148.00,181.00,260.00,278.00,265.00,247.00,243.00,217
42,1997,218.00,171.00,141.00,210.00,286.00,267.00,262.00,264.00,255.00,230
43,1998,221.00,162.00,140.00,183.00,255.00,272.00,259.00,254.00,267.00,224
44,1999,205.00,172.00,143.00,172.00,254.00,281.00,258.00,250.00,256.00,221
45,2000,179.00,151.00,137.00,267.00,299.00,286.00,261.00,251.00,245.00,231
